T a T y T i(Vdd)*Vdd
1.255398e-07 1.800000e+00 1.255398e-07 1.351467e-02 1.255398e-07 -2.908373e-05 
1.265398e-07 1.800000e+00 1.265398e-07 1.351394e-02 1.265398e-07 4.644749e-06 
1.275398e-07 1.800000e+00 1.275398e-07 1.351467e-02 1.275398e-07 -2.907582e-05 
1.285398e-07 1.800000e+00 1.285398e-07 1.351394e-02 1.285398e-07 4.636841e-06 
1.295398e-07 1.800000e+00 1.295398e-07 1.351467e-02 1.295398e-07 -2.906792e-05 
1.305398e-07 1.800000e+00 1.305398e-07 1.351394e-02 1.305398e-07 4.628939e-06 
1.315398e-07 1.800000e+00 1.315398e-07 1.351467e-02 1.315398e-07 -2.906002e-05 
1.325398e-07 1.800000e+00 1.325398e-07 1.351394e-02 1.325398e-07 4.621041e-06 
1.335398e-07 1.800000e+00 1.335398e-07 1.351467e-02 1.335398e-07 -2.905213e-05 
1.345398e-07 1.800000e+00 1.345398e-07 1.351394e-02 1.345398e-07 4.613149e-06 
1.355398e-07 1.800000e+00 1.355398e-07 1.351467e-02 1.355398e-07 -2.904424e-05 
1.365398e-07 1.800000e+00 1.365398e-07 1.351394e-02 1.365398e-07 4.605261e-06 
1.375398e-07 1.800000e+00 1.375398e-07 1.351467e-02 1.375398e-07 -2.903636e-05 
1.385398e-07 1.800000e+00 1.385398e-07 1.351394e-02 1.385398e-07 4.597379e-06 
1.395398e-07 1.800000e+00 1.395398e-07 1.351467e-02 1.395398e-07 -2.902848e-05 
1.405398e-07 1.800000e+00 1.405398e-07 1.351394e-02 1.405398e-07 4.589501e-06 
1.415398e-07 1.800000e+00 1.415398e-07 1.351467e-02 1.415398e-07 -2.902061e-05 
1.425398e-07 1.800000e+00 1.425398e-07 1.351395e-02 1.425398e-07 4.581629e-06 
1.435398e-07 1.800000e+00 1.435398e-07 1.351467e-02 1.435398e-07 -2.901274e-05 
1.445398e-07 1.800000e+00 1.445398e-07 1.351395e-02 1.445398e-07 4.573761e-06 
1.455398e-07 1.800000e+00 1.455398e-07 1.351467e-02 1.455398e-07 -2.900488e-05 
1.465398e-07 1.800000e+00 1.465398e-07 1.351395e-02 1.465398e-07 4.565899e-06 
1.475398e-07 1.800000e+00 1.475398e-07 1.351467e-02 1.475398e-07 -2.899702e-05 
1.485398e-07 1.800000e+00 1.485398e-07 1.351395e-02 1.485398e-07 4.558041e-06 
1.495398e-07 1.800000e+00 1.495398e-07 1.351467e-02 1.495398e-07 -2.898917e-05 
1.505398e-07 1.800000e+00 1.505398e-07 1.351395e-02 1.505398e-07 4.550188e-06 
1.515398e-07 1.800000e+00 1.515398e-07 1.351467e-02 1.515398e-07 -2.898132e-05 
1.525398e-07 1.800000e+00 1.525398e-07 1.351395e-02 1.525398e-07 4.542341e-06 
1.535398e-07 1.800000e+00 1.535398e-07 1.351467e-02 1.535398e-07 -2.897347e-05 
1.545398e-07 1.800000e+00 1.545398e-07 1.351395e-02 1.545398e-07 4.534498e-06 
1.555398e-07 1.800000e+00 1.555398e-07 1.351468e-02 1.555398e-07 -2.896564e-05 
1.565398e-07 1.800000e+00 1.565398e-07 1.351395e-02 1.565398e-07 4.526660e-06 
1.575398e-07 1.800000e+00 1.575398e-07 1.351468e-02 1.575398e-07 -2.895780e-05 
1.585398e-07 1.800000e+00 1.585398e-07 1.351395e-02 1.585398e-07 4.518827e-06 
1.595398e-07 1.800000e+00 1.595398e-07 1.351468e-02 1.595398e-07 -2.894997e-05 
1.605398e-07 1.800000e+00 1.605398e-07 1.351396e-02 1.605398e-07 4.510999e-06 
1.615398e-07 1.800000e+00 1.615398e-07 1.351468e-02 1.615398e-07 -2.894215e-05 
1.625398e-07 1.800000e+00 1.625398e-07 1.351396e-02 1.625398e-07 4.503176e-06 
1.635398e-07 1.800000e+00 1.635398e-07 1.351468e-02 1.635398e-07 -2.893433e-05 
1.645398e-07 1.800000e+00 1.645398e-07 1.351396e-02 1.645398e-07 4.495358e-06 
1.655398e-07 1.800000e+00 1.655398e-07 1.351468e-02 1.655398e-07 -2.892652e-05 
1.665398e-07 1.800000e+00 1.665398e-07 1.351396e-02 1.665398e-07 4.487545e-06 
1.675398e-07 1.800000e+00 1.675398e-07 1.351468e-02 1.675398e-07 -2.891871e-05 
1.685398e-07 1.800000e+00 1.685398e-07 1.351396e-02 1.685398e-07 4.479737e-06 
1.695398e-07 1.800000e+00 1.695398e-07 1.351468e-02 1.695398e-07 -2.891091e-05 
1.705398e-07 1.800000e+00 1.705398e-07 1.351396e-02 1.705398e-07 4.471933e-06 
1.715398e-07 1.800000e+00 1.715398e-07 1.351468e-02 1.715398e-07 -2.890311e-05 
1.725398e-07 1.800000e+00 1.725398e-07 1.351396e-02 1.725398e-07 4.464135e-06 
1.735398e-07 1.800000e+00 1.735398e-07 1.351468e-02 1.735398e-07 -2.889531e-05 
1.745398e-07 1.800000e+00 1.745398e-07 1.351396e-02 1.745398e-07 4.456341e-06 
1.755398e-07 1.800000e+00 1.755398e-07 1.351468e-02 1.755398e-07 -2.888753e-05 
1.765398e-07 1.800000e+00 1.765398e-07 1.351396e-02 1.765398e-07 4.448553e-06 
1.775398e-07 1.800000e+00 1.775398e-07 1.351468e-02 1.775398e-07 -2.887974e-05 
1.785398e-07 1.800000e+00 1.785398e-07 1.351396e-02 1.785398e-07 4.440769e-06 
1.795398e-07 1.800000e+00 1.795398e-07 1.351468e-02 1.795398e-07 -2.887196e-05 
1.805398e-07 1.800000e+00 1.805398e-07 1.351397e-02 1.805398e-07 4.432990e-06 
1.815398e-07 1.800000e+00 1.815398e-07 1.351468e-02 1.815398e-07 -2.886419e-05 
1.825398e-07 1.800000e+00 1.825398e-07 1.351397e-02 1.825398e-07 4.425216e-06 
1.835398e-07 1.800000e+00 1.835398e-07 1.351468e-02 1.835398e-07 -2.885642e-05 
1.845398e-07 1.800000e+00 1.845398e-07 1.351397e-02 1.845398e-07 4.417448e-06 
1.855398e-07 1.800000e+00 1.855398e-07 1.351468e-02 1.855398e-07 -2.884865e-05 
1.865398e-07 1.800000e+00 1.865398e-07 1.351397e-02 1.865398e-07 4.409683e-06 
1.875398e-07 1.800000e+00 1.875398e-07 1.351468e-02 1.875398e-07 -2.884089e-05 
1.885398e-07 1.800000e+00 1.885398e-07 1.351397e-02 1.885398e-07 4.401924e-06 
1.895398e-07 1.800000e+00 1.895398e-07 1.351468e-02 1.895398e-07 -2.883314e-05 
1.905398e-07 1.800000e+00 1.905398e-07 1.351397e-02 1.905398e-07 4.394170e-06 
1.915398e-07 1.800000e+00 1.915398e-07 1.351468e-02 1.915398e-07 -2.882539e-05 
1.925398e-07 1.800000e+00 1.925398e-07 1.351397e-02 1.925398e-07 4.386421e-06 
1.935398e-07 1.800000e+00 1.935398e-07 1.351468e-02 1.935398e-07 -2.881764e-05 
1.945398e-07 1.800000e+00 1.945398e-07 1.351397e-02 1.945398e-07 4.378676e-06 
1.955398e-07 1.800000e+00 1.955398e-07 1.351469e-02 1.955398e-07 -2.880990e-05 
1.965398e-07 1.800000e+00 1.965398e-07 1.351397e-02 1.965398e-07 4.370937e-06 
1.975398e-07 1.800000e+00 1.975398e-07 1.351469e-02 1.975398e-07 -2.880217e-05 
1.985398e-07 1.800000e+00 1.985398e-07 1.351397e-02 1.985398e-07 4.363202e-06 
1.995398e-07 1.800000e+00 1.995398e-07 1.351469e-02 1.995398e-07 -2.879444e-05 
2.005398e-07 1.800000e+00 2.005398e-07 1.351398e-02 2.005398e-07 4.355472e-06 
2.015398e-07 1.800000e+00 2.015398e-07 1.351469e-02 2.015398e-07 -2.878671e-05 
2.025398e-07 1.800000e+00 2.025398e-07 1.351398e-02 2.025398e-07 4.347747e-06 
2.035398e-07 1.800000e+00 2.035398e-07 1.351469e-02 2.035398e-07 -2.877899e-05 
2.045398e-07 1.800000e+00 2.045398e-07 1.351398e-02 2.045398e-07 4.340027e-06 
2.055398e-07 1.800000e+00 2.055398e-07 1.351469e-02 2.055398e-07 -2.877128e-05 
2.065398e-07 1.800000e+00 2.065398e-07 1.351398e-02 2.065398e-07 4.332312e-06 
2.075398e-07 1.800000e+00 2.075398e-07 1.351469e-02 2.075398e-07 -2.876357e-05 
2.085398e-07 1.800000e+00 2.085398e-07 1.351398e-02 2.085398e-07 4.324601e-06 
2.095398e-07 1.800000e+00 2.095398e-07 1.351469e-02 2.095398e-07 -2.875586e-05 
2.105398e-07 1.800000e+00 2.105398e-07 1.351398e-02 2.105398e-07 4.316896e-06 
2.115398e-07 1.800000e+00 2.115398e-07 1.351469e-02 2.115398e-07 -2.874816e-05 
2.125398e-07 1.800000e+00 2.125398e-07 1.351398e-02 2.125398e-07 4.309195e-06 
2.135398e-07 1.800000e+00 2.135398e-07 1.351469e-02 2.135398e-07 -2.874046e-05 
2.145398e-07 1.800000e+00 2.145398e-07 1.351398e-02 2.145398e-07 4.301499e-06 
2.155398e-07 1.800000e+00 2.155398e-07 1.351469e-02 2.155398e-07 -2.873277e-05 
2.165398e-07 1.800000e+00 2.165398e-07 1.351398e-02 2.165398e-07 4.293808e-06 
